molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL501993,O=S(=O)([O-])c1ccc2cc(/N=N/c3cc(S(=O)(=O)[O-])c4cccnc4c3O)ccc2c1.[Na+].[Na+],active,300.0
CHEMBL525630,c1cc(CN2CCCC2)cc(-c2nnnn2[C@H]2CO[C@@H]3[C@@H](NCC4CCCCC4)CO[C@H]23)c1,inactive,2500.0
CHEMBL525768,CC(C)(c1ccc(NS(=O)(=O)C(F)(F)F)cc1)c1ccc(C(C)(C)c2ccc(NS(=O)(=O)C(F)(F)F)cc2)cc1,inactive,1800.0
CHEMBL176252,O=C(O)/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)c(Cl)c1,inactive,2100.0
CHEMBL460351,CCC(CC)(CC)c1cc(-c2ccc(/C=C/C(=O)O)cc2Cl)ccc1O,inactive,5370.0
CHEMBL460350,CC1(c2cc(-c3ccc(/C=C/C(=O)O)cc3Cl)ccc2O)SCCCS1,inactive,10200.0
CHEMBL461415,CC12CC3CC(C)(C1)CC(c1cc(-c4ccc(/C=C/C(=O)O)cc4Cl)ccc1O)(C3)C2,inactive,2270.0
CHEMBL461199,CC1(c2cc(-c3ccc(/C=C/C(=O)O)cc3Cl)ccc2O)CCCCC1,inactive,6400.0
CHEMBL518627,O=C(O)/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC3C5)C4)c2)c(Cl)c1,inactive,3910.0
CHEMBL459712,Cc1cccc(C)c1-c1cc(-c2ccc(/C=C/C(=O)O)cc2Cl)ccc1O,inactive,19900.0
CHEMBL459711,CC(C)(C)C#Cc1cc(-c2ccc(/C=C/C(=O)O)cc2Cl)ccc1O,active,450.0
CHEMBL459710,O=C(O)/C=C/c1ccc(-c2ccc(F)cc2)c(Cl)c1,inactive,500000.0
CHEMBL459497,O=C(O)/C=C/c1ccc(-c2ccc(F)c(C34CC5CC(CC(C5)C3)C4)c2)c(Cl)c1,inactive,2110.0
CHEMBL461827,Nc1ccc(-c2ccc(/C=C/C(=O)O)cc2Cl)cc1C12CC3CC(CC(C3)C1)C2,inactive,1830.0
CHEMBL461620,CC(=O)Nc1ccc(-c2ccc(/C=C/C(=O)O)cc2Cl)cc1C12CC3CC(CC(C3)C1)C2,inactive,4550.0
