SMILES,IC50(microM)
COc1cccc(Sc2c(N)nc(N3CCC(C)(CN)CC3)n(C)c2=O)c1Cl,0.047
COc1cccc(-c2n[nH]c3nc(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)n(C)c(=O)c23)c1Cl,0.047
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(F)cc3F)c(=O)n2C)[C@@H]1N,0.048
Cn1c(nc(N)c(-c2cccc(Cl)c2Cl)c1=O)N1CCC2(C[C@H](F)C[C@H]2N)CC1,0.048
C[C@@]1(N)CCN(C[C@H]1O)c1cnc(Sc2cccc(Cl)c2Cl)c(N)n1,0.049
C[C@H]1C[C@@H](N)C2(C1)CCN(CC2)c1ncc(Sc2cccnc2C(F)(F)F)c(=O)n1C,0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
CC1(CN)CCN(CC1)c1nc2[nH]nc(Oc3cccc(Cl)c3Cl)c2c(=O)[nH]1,<0.05
Cn1c(nc(N)c(Sc2cccc(Cl)c2Cl)c1=O)N1CCC(C)(CN)C1,<0.05
CC1(CN)CCN(CC1)c1nc2[nH]nc(Nc3cccc(Cl)c3Cl)c2c(=O)[nH]1,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc(N)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(NC(=O)c3c(O)nc4sccn4c3=O)c2Cl)[nH]c1=O,<0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(NC(=O)c3c(O)nc4ccccn4c3=O)c2Cl)[nH]c1=O,<0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(NC(=O)c3c(O)nc4[nH]ccn4c3=O)c2Cl)[nH]c1=O,<0.05
CN1C(=O)C(C(=O)Nc2cccc(Sc3cnc(N4CCC(C)(CN)CC4)c(=O)[nH]3)c2Cl)=C(Cl)C1(C)C,<0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(NC(=O)c3c(O)nc4cnccn4c3=O)c2Cl)[nH]c1=O,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cccc(Cl)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
N[C@@H]1COCC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
NC1CCCC(C1)n1ccc(cc1=O)-c1cccc(Cl)c1Cl,<0.05
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(NC(=O)c3c(O)nc4CCCCn4c3=O)c2Cl)[nH]c1=O,<0.05
COc1cccc(Sc2cnc(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)c(=O)[nH]2)c1Cl,<0.05
COc1nccc(Sc2cnc(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)c(=O)[nH]2)c1Cl,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc(Cl)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc(F)c3F)[nH]c2=O)[C@@H]1N,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cc[nH]c(=O)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cccc(F)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cccc(F)c3F)[nH]c2=O)[C@@H]1N,<0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc(F)c3Cl)[nH]c2=O)[C@@H]1N,<0.05
NC1C2CC2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
NC1C2CN(CC12)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
N[C@@H]1c2ccccc2OC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)[nH]c1=O,<0.05
N[C@@H]1COCC11CCN(CC1)c1ncc(Sc2ccnc(Cl)c2Cl)[nH]c1=O,<0.05
CNc1cc(ccn1)-c1n[nH]c2nc(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)n(C)c(=O)c12,0.05
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc4cc(ccc34)C#N)c3nccn23)[C@@H]1N,0.051
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(Sc3cccnc3C(F)(F)F)c(=O)n2C)[C@H](N)[C@@H]1F,0.051
CC1(N)CCN(CC1)c1cnc(Sc2ccc(F)cc2Cl)c(N)n1,0.051
COc1ccc(cc1F)-c1c(N)nc(N2CCC3(CO[C@@H](C)[C@H]3N)CC2)n(C)c1=O,0.052
N[C@H]1CCC11CCN(CC1)c1nc(N)c(Sc2cccnc2C(F)(F)F)nc1C(N)=O,0.053
Cn1c(nc(N)c(Sc2ccnc(N)c2Cl)c1=O)N1CCC(C)(CN)CC1,0.053
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(F)c(Cl)c3)c(=O)n2C)[C@@H]1N,0.053
Cn1c(nc2[nH]nc(-c3ccnc(Cl)c3Cl)c2c1=O)N1CCC2(COC[C@H]2N)CC1,0.054
NCC1(CCN(CC1)c1cnc(Sc2cccc(Cl)c2Cl)c(N)n1)c1cccnc1,0.054
Cc1c(Nc2nc(nc3cc(CN4CC[C@@H](O)C4)cnc23)C2CC2)cccc1-c1cccc(-c2nc3cc(CN4CC[C@H](C4)C(O)=O)cc(C#N)c3o2)c1C,0.055
C[C@H](O)CNCc1cnc2c(Nc3cccc(c3C)-c3cccc(-c4nc5cc(CN6CCC(CC6)C(O)=O)cc(C#N)c5o4)c3C)nc(C)nc2c1,0.055
NC1=NC2(CO1)CCN(CC2)c1cnc(Sc2cccnc2C(F)(F)F)c(N)n1,0.056
COc1ccc(cc1)-c1c(N)nc(N2CCC3(CO[C@@H](C)[C@H]3N)CC2)n(C)c1=O,0.056
COc1cccc(Sc2ncc(nc2N)N2CCC(C)(N)CC2)c1Cl,0.056
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(Sc3ccnc(N)c3Cl)c(=O)n2C)[C@H](N)C1(F)F,0.057
Cn1c(nc2[nH]nc(-c3ccnc(Cl)c3Cl)c2c1=O)N1CCC2(CCC[C@H]2N)CC1,0.057
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(Sc3cccnc3C(F)(F)F)c(=O)n2C)[C@@H](N)[C@H]1F,0.058
CC1(N)CCN(CC1)c1cnc(Sc2ccccc2C(F)(F)F)c(N)n1,0.059
CCC1(CN)CCN(CC1)c1cnc(Sc2ccnc(N)c2Cl)c(N)n1,0.059
C[C@@H]1OCC2(CCN(CC2)c2nc(C)c(Sc3ccnc(N)c3Cl)c(=O)n2C)[C@@H]1N,0.06
C[C@H]1CC2(CCN(CC2)c2nc(N)c(Sc3cccnc3C(F)(F)F)c(=O)n2C)[C@H](N)[C@@H]1C(F)(F)F,0.061
C[C@H](N)C1(C)CCN(CC1)c1cnc(Sc2cccnc2C(F)(F)F)c(N)n1,0.061
Nc1nc(cnc1Sc1ccnc(Cl)c1Cl)N1CCC(N)(CO)CC1,0.062
Cn1c(nc(N)c(-c2ccccc2)c1=O)N1CCC2(C[C@H](C[C@H]2N)C(F)(F)F)CC1,0.063
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(cc3)C3CC3)c(=O)n2C)[C@@H]1N,0.063
C[C@@]1(CN)CCN(C[C@H]1O)c1cnc(Sc2cccnc2C(F)(F)F)c(N)n1,0.064
Cn1c(nc2[nH]nc(-c3ccnc(N)c3Cl)c2c1=O)N1CCC2(COC[C@H]2N)CC1,0.064
COc1ccc(cc1)-n1cc(-c2ccc(cc2)C(O)=O)c2cc(cnc12)-c1ccc2nonc2c1,0.065
CC1(CN)CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c(=O)[nH]1,0.065
NCC1(CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl)c1ccccc1,0.065
NC1C2CN(CC12)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.065
CC(C)C(=O)O[C@@H]1C[C@@H](N)C2(C1)CCN(CC2)c1cnc(Sc2ccnc(Cl)c2Cl)c(N)n1,0.065
CN([C@H]1CC[C@H](N)CC1)c1nc(N)c(-c2cccc(Cl)c2Cl)c(n1)C(N)=O,0.066
COc1ccc(cc1Cl)-c1c(N)nc(N2CCC3(CO[C@@H](C)[C@H]3N)CC2)n(C)c1=O,0.066
C[C@@H]1OCC2(CCN(CC2)c2nc(C)n(-c3ccc(F)c(C)c3Cl)c(=O)c2C)[C@@H]1N,0.067
C[C@@H]1OCC2(CCN(CC2)c2cnc3c(n[nH]c3n2)-c2ccnc(Cl)c2Cl)[C@@H]1N,0.067
CC1(N)CCN(CC1)c1cnc(Sc2ccc(F)cc2C(F)(F)F)c(N)n1,0.067
Cn1c(ncc(Sc2cccc(Cl)c2Cl)c1=O)N1CCC(C)(CN)CC1,0.068
NC[C@H]1CCN(C1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.068
C[C@@H]1OCC2(CCN(CC2)c2nc(C)c(Sc3cccnc3C(F)(F)F)c(=O)n2C)[C@@H]1N,0.068
Cn1c(nc(N)c(Sc2ccnc(N)c2Cl)c1=O)N1CCC2(C[C@H](F)C[C@H]2N)CC1,0.069
Cn1c(nc(N)c(-c2cccc(Cl)c2Cl)c1=O)N1CCC2(COC[C@H]2N)CC1,0.069
N[C@@H]1CCCC11CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.07
OS(=O)(=O)c1ccc(N\N=C2/C(=O)N(N=C2c2ccc(cc2)[N+]([O-])=O)c2ccc(cc2)[N+]([O-])=O)cc1,0.07
C[C@@]1(N)CCCN(CC1)c1nc(N)c(c(n1)C(N)=O)-c1cccc(Cl)c1Cl,0.071
CC1(N)CCN(CC1)c1cnc(Sc2cccc(N=[N+]=[N-])c2Cl)c(N)n1,0.071
Cn1c(nc2[nH]nc(-c3cccc(Cl)c3Cl)c2c1=O)N1CCC2(CCCCC2N)CC1,0.072
NCC1CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.073
Cc1nc(N2CCC3(Cc4ncccc4[C@H]3N)CC2)c(C)c(=O)n1-c1cccc(Cl)c1Cl,0.073
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(cc3)C3CCCCC3)c(=O)n2C)[C@@H]1N,0.073
N[C@@H]1COCC11CCN(CC1)c1cnc(Sc2ccnnc2Cl)c(N)n1,0.073
NC1CCCC11CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.073
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1ccnc(F)c1Cl,0.074
Cn1c(nc(N)c(Sc2ccccc2C(F)(F)F)c1=O)N1CCC(C)(CN)CC1,0.074
NC1CCCCC11CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.074
N[C@H]1c2cccnc2CC11CCN(CC1)c1ncc(Sc2ccnc(N)c2Cl)c2nccn12,0.075
COc1ccc(cc1)-n1cc(-c2ccc3nonc3c2)c2cc(cnc12)-c1ccc(NS(C)(=O)=O)cc1,0.075
NC1CCCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.075
CCCC1(CN)CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.075
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3cc(F)cc(F)c3)c(=O)n2C)[C@@H]1N,0.075
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cc(N)ncc3C(F)(F)F)c3ncc(Cl)n23)[C@@H]1N,0.076
CC1(N)CCN(CC1)c1cnc(Sc2ccncc2Cl)c(N)n1,0.076
C[C@]1(CN)CCN(C[C@H]1O)c1cnc(Sc2cccc(Cl)c2Cl)c(N)n1,0.076
C[C@@]1(N)CCN(C[C@@H]1O)c1cnc(Sc2cccc(Cl)c2Cl)c(N)n1,0.077
C[C@@H]1OCC2(CCN(CC2)c2nc(C)n(-c3cccc(Cl)c3Br)c(=O)c2C)[C@@H]1N,0.078
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(-c3ccccc3)c(=O)n2C)[C@H](N)C1(F)F,0.078
N[C@@H]1CCCC11CCN(CC1)c1cnc(Sc2ccnnc2Cl)c(N)n1,0.078
NCC1(CCN(CC1)c1cnc(Sc2cccnc2C(F)(F)F)c(N)n1)c1cscn1,0.079
NC[C@@H]1[C@@H]2CN(C[C@H]12)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.08
Cc1nc(cc(=O)n1-c1cccc(Cl)c1Cl)N1CCC2(CCC[C@@H]2N)CC1,0.081
COC(=O)c1cccc2c(Sc3cnc(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)n4ccnc34)ccnc12,0.082
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(Sc3ccccc3)c(=O)n2C)[C@@H]1N,0.082
CC1(N)CCN(CC1)c1cnc(Sc2ccnc(c2Cl)C(F)(F)F)c(N)n1,0.082
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4cccc(N)c4)c3c(=O)n2C)[C@@H]1N,0.083
COc1nccc(Sc2ccc([nH]c2=O)N2CCC3(CO[C@@H](C)[C@H]3N)CC2)c1Cl,0.083
Cn1c(ncc(Sc2ccnc(Cl)c2Cl)c1=O)N1CCC(C)(CN)CC1,0.083
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4ccnc(N5CC[C@@H](O)C5)c4Cl)c3c(=O)n2C)[C@@H]1N,0.084
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1cccc2cc[nH]c12,0.086
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(cc3)N(C)C)c(=O)n2C)[C@@H]1N,0.088
Cn1c(nc(N)c(Sc2ccccc2OC(F)(F)F)c1=O)N1CCC(C)(CN)CC1,0.089
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(-c3cccc(Cl)c3Cl)c(=O)n2C)[C@H](N)C1(F)F,0.089
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4ccc(nc4C)N(C)C)c3c(=O)n2C)[C@@H]1N,0.089
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1sccc1Cl,0.09
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1ccccc1,0.09
COc1ccccc1-c1n[nH]c2nc(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)n(C)c(=O)c12,0.091
N[C@@H]1CCCC11CCN(CC1)c1ncc(Sc2cccnc2C(F)(F)F)c(=O)[nH]1,0.092
C[C@@H]1C[C@@H](N)C2(C1)CCN(CC2)c1nc(C)n(-c2cccc(Cl)c2Cl)c(=O)c1C,0.093
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(Sc3ccncc3C(F)(F)F)c(=O)n2C)[C@@H]1N,0.093
C[C@@]1(N)CCN(C[C@H]1O)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl.C[C@]1(N)CCN(C[C@@H]1O)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.093
NCC1(CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl)c1cnccn1,0.093
C[C@]1(N)CCN(C[C@@H]1O)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl,0.093
CC1(N)CCN(CC1)c1cnc(Sc2cccc(N)c2Cl)c(N)n1,0.094
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4ccc5OCCc5c4)c3c(=O)n2C)[C@@H]1N,0.095
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1ccc(Cl)c(Cl)c1,0.095
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4cccnc4C)c3c(=O)n2C)[C@@H]1N,0.096
OC(=O)c1cc(O)c(=O)c2c(O)c(O)ccc2c1,0.097
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ncnc2c1-c1cccc(Cl)c1Cl,0.097
Cn1c(nc(N)c(Sc2cccnc2C(F)(F)F)c1=O)N1CCC2(CCC[C@H]2N)CC1,0.098
CC(=O)Nc1cccc(Sc2ncc(nc2N)N2CCC(C)(N)CC2)c1Cl,0.099
C[C@@H]1C[C@H](N)C2(C1)CCN(CC2)c1cnc(Sc2cccnc2C(F)(F)F)c(N)n1,0.1
CC1(N)CCCN(CC1)c1nc(N)c(c(n1)C(N)=O)-c1cccc(Cl)c1Cl,0.1
C[C@@H]1OCC2(CCC(CC2)c2cnc3nc(Sc4ccnc(N5CCCC5)c4Cl)ccc3n2)[C@@H]1N,0.1
Cn1c(nc2[nH]nc(-c3ccnc(Cl)c3Cl)c2c1=O)N1CCC(C)(CN)CC1,0.1
NCC1(CCN(CC1)c1nc(N)c(Sc2cccnc2C(F)(F)F)nc1C(N)=O)c1ccccn1,0.102
Nc1nc(cnc1-c1cccc(Cl)c1Cl)N1CC2CNCC2C1,0.102
NCC1(CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl)c1ccncc1,0.102
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4ccnc(N5CCOCC5)c4Cl)c3c(=O)n2C)[C@@H]1N,0.103
Cn1c(nc(N)c(-c2cccc(Cl)c2Cl)c1=O)N1CCC(C)(N)CC1,0.105
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(cc3)-c3ccccc3)c(=O)n2C)[C@@H]1N,0.107
CC1(CN)CCN(CC1)c1ccc(Sc2cccc(Cl)c2Cl)c(=O)[nH]1,0.108
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(Sc3cccnc3OC(F)(F)F)c(=O)n2C)[C@@H]1N,0.108
Cn1c(nc(N)c(Sc2cccnc2C(F)(F)F)c1=O)N1CCC(C)(CN)CC1,0.109
CC1(CN)CCN(CC1)c1nc(N)c(Sc2cccnc2C(F)(F)F)nc1C(N)=O,0.109
Cn1c(ncc(Sc2cccc(Cl)c2Cl)c1=O)N1CCC2(CC[C@@H]2N)CC1,0.109
NCC1(CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl)c1ccccn1,0.11
